Sampling_Event,Site,meanSal,meanEC,meanT,Source
7/9/2018,CanoeShed,3.070172906,5.10929,20.1168,HOBO
7/10/2018,CanoeShed,3.189928817,5.286440625,19.891875,HOBO
7/11/2018,CanoeShed,3.197873249,5.301767708,19.9175,HOBO
7/12/2018,CanoeShed,3.210374034,5.341792708,20.09395833,HOBO
7/13/2018,CanoeShed,3.460542748,5.747469792,20.22625,HOBO
7/14/2018,CanoeShed,3.548457222,5.891946875,20.28708333,HOBO
7/15/2018,CanoeShed,3.590024599,5.954355208,20.27020833,HOBO
7/16/2018,CanoeShed,3.605026714,5.995152083,20.40479167,HOBO
7/17/2018,CanoeShed,3.739339286,6.237709375,20.65416667,HOBO
7/18/2018,CanoeShed,3.777096827,6.332372917,20.91729167,HOBO
7/19/2018,CanoeShed,3.757072199,6.28958125,20.83333333,HOBO
7/20/2018,CanoeShed,3.716679859,6.200326042,20.63979167,HOBO
7/21/2018,CanoeShed,3.576273869,5.967320833,20.53583333,HOBO
7/22/2018,CanoeShed,3.700904226,6.136344792,20.34625,HOBO
7/23/2018,CanoeShed,3.781777303,6.243386458,20.21083333,HOBO
7/24/2018,CanoeShed,3.793037767,6.272839583,20.29916667,HOBO
7/25/2018,CanoeShed,3.800521222,6.2982,20.4,HOBO
7/26/2018,CanoeShed,3.79250326,6.298152083,20.490625,HOBO
7/27/2018,CanoeShed,3.85786275,6.418705208,20.62791667,HOBO
7/28/2018,CanoeShed,3.900281887,6.498814583,20.72875,HOBO
7/29/2018,CanoeShed,3.927382552,6.543896875,20.74916667,HOBO
7/30/2018,CanoeShed,3.845607466,6.400825,20.63666667,HOBO
7/31/2018,CanoeShed,3.8779834,6.431180208,20.49333333,HOBO
8/1/2018,CanoeShed,3.918135093,6.498529167,20.529375,HOBO
8/2/2018,CanoeShed,3.944944154,6.572779167,20.75979167,HOBO
8/3/2018,CanoeShed,3.966481394,6.626861458,20.90375,HOBO
8/4/2018,CanoeShed,4.054513136,6.780110417,21.01270833,HOBO
8/5/2018,CanoeShed,4.653792987,7.725972917,21.114375,HOBO
8/6/2018,CanoeShed,6.593263537,10.70867708,21.229375,HOBO
3/9/2019,CanoeShed,0.754604739,0.9882025,7.1975,HOBO
3/10/2019,CanoeShed,0.876956731,1.148814583,7.443333333,HOBO
3/11/2019,CanoeShed,0.993059452,1.30433125,7.754166667,HOBO
3/12/2019,CanoeShed,1.044621927,1.373416667,7.878333333,HOBO
3/13/2019,CanoeShed,1.088041848,1.431866667,7.984791667,HOBO
3/14/2019,CanoeShed,1.126659005,1.483472917,8.066041667,HOBO
3/15/2019,CanoeShed,1.16390848,1.536463542,8.219375,HOBO
3/16/2019,CanoeShed,1.199892155,1.595916667,8.555,HOBO
3/17/2019,CanoeShed,1.233198598,1.651920833,8.873333333,HOBO
3/18/2019,CanoeShed,1.265428037,1.695607292,8.932916667,HOBO
3/19/2019,CanoeShed,1.296569551,1.734051042,8.906875,HOBO
3/20/2019,CanoeShed,1.321985889,1.763186458,8.839375,HOBO
3/21/2019,CanoeShed,1.340184166,1.784323958,8.79875,HOBO
3/22/2019,CanoeShed,1.358328629,1.809877083,8.853125,HOBO
3/23/2019,CanoeShed,1.375647455,1.83313125,8.880833333,HOBO
3/24/2019,CanoeShed,1.389987485,1.850816667,8.871458333,HOBO
3/25/2019,CanoeShed,1.403021435,1.86995625,8.925208333,HOBO
3/26/2019,CanoeShed,1.416360604,1.892244792,9.033541667,HOBO
3/27/2019,CanoeShed,1.428365746,1.910215625,9.088125,HOBO
3/28/2019,CanoeShed,1.43728549,1.92123125,9.082083333,HOBO
3/29/2019,CanoeShed,1.445724228,1.933575,9.114166667,HOBO
3/30/2019,CanoeShed,1.455524688,1.95155625,9.222083333,HOBO
3/31/2019,CanoeShed,1.465563741,1.9741625,9.412083333,HOBO
4/1/2019,CanoeShed,1.474377609,1.995355208,9.602708333,HOBO
4/2/2019,CanoeShed,1.481066385,2.0021625,9.56875,HOBO
4/3/2019,CanoeShed,1.485091107,2.002908333,9.484583333,HOBO
4/4/2019,CanoeShed,1.487546355,2.006226042,9.487916667,HOBO
4/5/2019,CanoeShed,1.492750975,2.018094792,9.586666667,HOBO
4/6/2019,CanoeShed,1.497264267,2.027752083,9.659791667,HOBO
4/7/2019,CanoeShed,1.50091451,2.038361458,9.77125,HOBO
4/8/2019,CanoeShed,1.503971448,2.053742708,9.986041667,HOBO
4/9/2019,CanoeShed,1.507040239,2.078213542,10.36895833,HOBO
4/10/2019,CanoeShed,1.510374128,2.106942708,10.821875,HOBO
4/11/2019,CanoeShed,1.512059939,2.124770833,11.110625,HOBO
4/12/2019,CanoeShed,1.512714962,2.129736458,11.18625,HOBO
4/13/2019,CanoeShed,1.512620198,2.133266667,11.25375,HOBO
4/14/2019,CanoeShed,1.51247677,2.146667708,11.504375,HOBO
4/15/2019,CanoeShed,1.511965641,2.161351042,11.78729167,HOBO
4/16/2019,CanoeShed,1.511088359,2.169307292,11.95541667,HOBO
4/17/2019,CanoeShed,1.374921257,1.982206,11.944,HOBO
4/18/2019,CanoeShed,1.351969894,1.951782292,11.95208333,HOBO
4/19/2019,CanoeShed,1.444523618,2.086485417,12.10625,HOBO
4/20/2019,CanoeShed,1.48736752,2.161846875,12.41770833,HOBO
4/21/2019,CanoeShed,1.48741194,2.17788125,12.71416667,HOBO
4/22/2019,CanoeShed,1.486286503,2.18305,12.83895833,HOBO
4/23/2019,CanoeShed,1.484126573,2.183848958,12.90958333,HOBO
4/24/2019,CanoeShed,1.482007513,2.186560417,13.01479167,HOBO
4/25/2019,CanoeShed,1.480117131,2.192310417,13.170625,HOBO
