Timestamp,Collar,Origin_Plot,Destination_Plot,meanFlux,sdFlux,meanSM,meanT5,meanT20
2018-04-05T16:45:31Z,71,HSLE,HSLE,1.7733333333333332,0.5428013755816516,0.4234227300995025,9.036440764925374,7.5
2018-04-05T16:19:04Z,72,HSLE,HSLE,1.9966666666666666,0.7484873635094538,0.33688616071428573,7.4910060876623374,7.3
2018-04-05T15:24:35Z,2,HSLE,HSLE,1.1833333333333333,0.27790885796126275,0.25778125,6.967192574786325,NA
2018-04-05T15:42:06Z,4,HSLE,HSLE,3.03,1.0595753866525968,0.24865699404761904,8.146524012445887,7.3
2018-04-05T16:02:00Z,29,LSLE,HSLE,0.8766666666666666,0.29737742572921255,0.5214561011904763,7.977765692640692,7.5
2018-04-05T16:33:56Z,30,LSLE,HSLE,1.6233333333333333,0.4660829682935576,0.46760937500000005,7.78760450487013,7.7
2018-04-05T16:27:21Z,17,MSLE,HSLE,1.12,0.3671511950137164,0.467,9.076283787393162,7.3
2018-04-05T16:09:01Z,19,MSLE,HSLE,1.6466666666666665,0.35360052790307495,0.4549717261904762,7.101437905844156,7.4
2018-04-06T17:06:55Z,85,HSHE,HSHE,1.83,0.2762245463386627,0.38322475961538466,8.913480502136753,7.2
2018-04-06T16:55:23Z,86,HSHE,HSHE,1.6933333333333334,0.28448784391135823,0.407656994047619,8.657409226190476,7.1
2018-04-06T17:01:07Z,87,HSHE,HSHE,1.7,0.11357816691600545,0.40976495726495726,9.286644364316238,7.1
2018-04-06T16:49:57Z,88,HSHE,HSHE,2.083333333333333,0.4163331998932264,0.3903995535714286,8.548787675865801,7.1
2018-04-06T15:13:29Z,69,HSLE,HSLE,2.3866666666666667,0.30746273486933884,0.49595299145299143,8.511289396367522,7.5
2018-04-06T15:52:09Z,70,HSLE,HSLE,1.3566666666666667,0.17156145643277032,0.41104700854700854,8.311797142094017,7.5
2018-04-06T16:18:29Z,81,HSME,HSME,1.9533333333333334,0.38695391629150533,0.42618080357142857,8.887620873917749,7.3
2018-04-06T16:42:05Z,82,HSME,HSME,1.7366666666666666,0.08144527815247085,0.3576852678571429,9.005338676948051,7.6
2018-04-06T16:36:06Z,83,HSME,HSME,2,0.31432467291003413,0.4229806547619048,8.613867153679653,7.4
2018-04-06T16:29:06Z,84,HSME,HSME,1.9100000000000001,0.20420577856662142,0.3954004197761194,8.583255441542288,7.2
2018-04-06T15:06:15Z,1,HSLE,HSLE,0.7233333333333333,0.10408329997330662,0.48,8.410071047008547,7.6
2018-04-06T15:58:14Z,3,HSLE,HSLE,4.25,0.44911023145771267,0.3177135416666667,8.703830762987012,7.6
2018-04-06T16:06:31Z,31,LSLE,HSLE,1.9166666666666667,0.43878620458411566,0.3466755952380952,9.155032061688312,7.8
2018-04-06T15:19:41Z,32,LSLE,HSLE,1.2233333333333334,0.30989245446337244,0.519,8.329692307692309,7.5
2018-04-06T15:40:33Z,18,MSLE,HSLE,1.77,0.34655446902326903,0.4037901785714286,8.940067911255412,7.7
