Plot Title: LSLE,,,,,,,,,,,,
#,"Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370964_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370964)","High Range, μS/cm (LGR S/N: 20370964_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370964)","Temp, °C (LGR S/N: 20370964_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370964)",Coupler Detached (LGR S/N: 20370964),Coupler Attached (LGR S/N: 20370964),Stopped (LGR S/N: 20370964),End Of File (LGR S/N: 20370964),Coupler Detached (LGR S/N: 20370964),Coupler Attached (LGR S/N: 20370964),Stopped (LGR S/N: 20370964),End Of File (LGR S/N: 20370964)
83,7/11/18 4:55,2061.6,2064.5,19.85,,,,,,,,
84,7/11/18 5:25,2063.3,2065.7,19.86,,,,,,,,
85,7/11/18 5:55,2064.9,2067.4,19.87,,,,,,,,
86,7/11/18 6:25,2065.4,2069.1,19.87,,,,,,,,
87,7/11/18 6:55,2068.1,2070.9,19.88,,,,,,,,
88,7/11/18 7:25,2069.2,2072,19.88,,,,,,,,
89,7/11/18 7:55,2070.8,2073.2,19.89,,,,,,,,
90,7/11/18 8:25,2071.3,2074.4,19.89,,,,,,,,
91,7/11/18 8:55,2072.9,2075.5,19.89,,,,,,,,
92,7/11/18 9:25,2074,2077.3,19.9,,,,,,,,
93,7/11/18 9:55,2074.6,2077.3,19.9,,,,,,,,
94,7/11/18 10:25,2074.6,2078.4,19.91,,,,,,,,
95,7/11/18 10:55,2074.6,2077.9,19.91,,,,,,,,
96,7/11/18 11:25,2075.1,2078.4,19.91,,,,,,,,
97,7/11/18 11:55,2074.6,2078.4,19.91,,,,,,,,
98,7/11/18 12:25,2074.6,2077.3,19.93,,,,,,,,
99,7/11/18 12:55,2073.5,2076.1,19.93,,,,,,,,
100,7/11/18 13:25,2072.9,2075.5,19.93,,,,,,,,
101,7/11/18 13:55,2072.4,2075,19.94,,,,,,,,
102,7/11/18 14:25,2072.4,2075,19.94,,,,,,,,
103,7/11/18 14:55,2071.9,2074.4,19.94,,,,,,,,
104,7/11/18 15:25,2071.9,2075,19.95,,,,,,,,
105,7/11/18 15:55,2071.9,2074.4,19.95,,,,,,,,
106,7/11/18 16:25,2071.9,2074.4,19.96,,,,,,,,
107,7/11/18 16:55,2071.9,2075,19.96,,,,,,,,
108,7/11/18 17:25,2071.9,2074.4,19.97,,,,,,,,
109,7/11/18 17:55,2071.9,2075,19.97,,,,,,,,
110,7/11/18 18:25,2072.4,2074.4,19.97,,,,,,,,
111,7/11/18 18:55,2072.9,2075.5,19.98,,,,,,,,
112,7/11/18 19:25,2073.5,2076.1,19.98,,,,,,,,
113,7/11/18 19:55,2074,2076.7,20,,,,,,,,
114,7/11/18 20:25,2074,2078.4,20,,,,,,,,
115,7/11/18 20:55,2075.1,2078.4,20.01,,,,,,,,
116,7/11/18 21:25,2076.2,2079.6,20.01,,,,,,,,
117,7/11/18 21:55,2076.7,2080.2,20.01,,,,,,,,
118,7/11/18 22:25,2078.3,2082.5,20.01,,,,,,,,
119,7/11/18 22:55,2079.4,2083.1,20.02,,,,,,,,
120,7/11/18 23:25,2079.9,2083.1,20.02,,,,,,,,
121,7/11/18 23:55,2079.9,2083.7,20.03,,,,,,,,
122,7/12/18 0:25,2080.5,2084.3,20.03,,,,,,,,
123,7/12/18 0:55,2081.6,2084.3,20.04,,,,,,,,
124,7/12/18 1:25,2082.1,2086,20.04,,,,,,,,
125,7/12/18 1:55,2083.2,2087.7,20.05,,,,,,,,
126,7/12/18 2:25,2084.2,2088.3,20.05,,,,,,,,
127,7/12/18 2:55,2084.2,2088.9,20.05,,,,,,,,
128,7/12/18 3:25,2086.4,2089.5,20.06,,,,,,,,
129,7/12/18 3:55,2086.9,2091.2,20.06,,,,,,,,
130,7/12/18 4:25,2086.9,2091.8,20.08,,,,,,,,
131,7/12/18 4:55,2092.3,2097.1,20.08,,,,,,,,
132,7/12/18 5:25,2094.5,2099.4,20.09,,,,,,,,
133,7/12/18 5:55,2096.6,2101.1,20.1,,,,,,,,
134,7/12/18 6:25,2098.3,2103.5,20.1,,,,,,,,
135,7/12/18 6:55,2099.3,2104.6,20.11,,,,,,,,
136,7/12/18 7:25,2100.4,2105.2,20.11,,,,,,,,
137,7/12/18 7:55,2101.5,2106.4,20.11,,,,,,,,
138,7/12/18 8:25,2102,2106.9,20.12,,,,,,,,
139,7/12/18 8:55,2102,2107.5,20.12,,,,,,,,
140,7/12/18 9:25,2101.5,2106.4,20.12,,,,,,,,
141,7/12/18 9:55,2101,2105.8,20.13,,,,,,,,
142,7/12/18 10:25,2101,2105.8,20.13,,,,,,,,
143,7/12/18 10:55,2101,2105.2,20.13,,,,,,,,
144,7/12/18 11:25,2099.9,2103.5,20.13,,,,,,,,
145,7/12/18 11:55,2098.8,2102.9,20.13,,,,,,,,
146,7/12/18 12:25,2096.6,2101.7,20.15,,,,,,,,
147,7/12/18 12:55,2095.6,2100,20.15,,,,,,,,
148,7/12/18 13:25,2093.9,2098.2,20.15,,,,,,,,
149,7/12/18 13:55,2091.8,2097.1,20.15,,,,,,,,
150,7/12/18 14:25,2091.2,2095.9,20.15,,,,,,,,
151,7/12/18 14:55,2090.2,2094.1,20.16,,,,,,,,
152,7/12/18 15:25,2088.6,2093,20.16,,,,,,,,
153,7/12/18 15:55,2088,2092.4,20.15,,,,,,,,
154,7/12/18 16:25,2088.6,2093,20.16,,,,,,,,
155,7/12/18 16:55,2088.6,2092.4,20.16,,,,,,,,
156,7/12/18 17:25,2088.6,2092.4,20.16,,,,,,,,
157,7/12/18 17:55,2088,2092.4,20.16,,,,,,,,
158,7/12/18 18:25,2087.5,2091.8,20.17,,,,,,,,
159,7/12/18 18:55,2086.4,2090.7,20.17,,,,,,,,
160,7/12/18 19:25,2085.9,2089.5,20.17,,,,,,,,
161,7/12/18 19:55,2084.2,2088.3,20.17,,,,,,,,
162,7/12/18 20:25,2083.7,2087.2,20.18,,,,,,,,
163,7/12/18 20:55,2082.6,2086,20.18,,,,,,,,
164,7/12/18 21:25,2081,2085.4,20.18,,,,,,,,
165,7/12/18 21:55,2079.4,2083.7,20.19,,,,,,,,
166,7/12/18 22:25,2078.3,2081.9,20.19,,,,,,,,
167,7/12/18 22:55,2077.8,2081.3,20.2,,,,,,,,
168,7/12/18 23:25,2077.2,2080.8,20.2,,,,,,,,
169,7/12/18 23:55,2076.7,2080.2,20.22,,,,,,,,
170,7/13/18 0:25,2075.6,2079.6,20.22,,,,,,,,
171,7/13/18 0:55,2075.6,2079,20.23,,,,,,,,
172,7/13/18 1:25,2075.6,2079,20.23,,,,,,,,
173,7/13/18 1:55,2075.1,2079,20.23,,,,,,,,
174,7/13/18 2:25,2074.6,2078.4,20.24,,,,,,,,
175,7/13/18 2:55,2076.2,2079.6,20.24,,,,,,,,
176,7/13/18 3:25,2078.3,2083.1,20.25,,,,,,,,
177,7/13/18 3:55,2081.6,2086,20.25,,,,,,,,
178,7/13/18 4:25,2086.9,2091.2,20.25,,,,,,,,
179,7/13/18 4:55,2090.7,2095.3,20.26,,,,,,,,
180,7/13/18 5:25,2095.6,2100,20.26,,,,,,,,
181,7/13/18 5:55,2099.3,2104,20.26,,,,,,,,
182,7/13/18 6:25,2102.6,2107.5,20.26,,,,,,,,
183,7/13/18 6:55,2104.7,2109.9,20.26,,,,,,,,
184,7/13/18 7:25,2106.9,2112.2,20.27,,,,,,,,
185,7/13/18 7:55,2108,2113.4,20.27,,,,,,,,
186,7/13/18 8:25,2109,2113.4,20.28,,,,,,,,
187,7/13/18 8:55,2108,2113.4,20.28,,,,,,,,
188,7/13/18 9:25,2106.9,2111.6,20.28,,,,,,,,
189,7/13/18 9:55,2106.9,2111.6,20.3,,,,,,,,
190,7/13/18 10:25,2105.8,2111,20.3,,,,,,,,
191,7/13/18 10:55,2104.7,2109.9,20.3,,,,,,,,
192,7/13/18 11:25,2104.2,2109.3,20.3,,,,,,,,
193,7/13/18 11:55,2103.1,2107.5,20.31,,,,,,,,
194,7/13/18 12:25,2102.6,2107.5,20.31,,,,,,,,
195,7/13/18 12:55,2101.5,2106.4,20.31,,,,,,,,
196,7/13/18 13:25,2099.9,2105.2,20.32,,,,,,,,
197,7/13/18 13:55,2099.9,2104,20.32,,,,,,,,
198,7/13/18 14:25,2098.8,2103.5,20.32,,,,,,,,
199,7/13/18 14:55,2097.2,2102.9,20.32,,,,,,,,
200,7/13/18 15:25,2096.1,2101.1,20.32,,,,,,,,
201,7/13/18 15:55,2095,2099.4,20.33,,,,,,,,
202,7/13/18 16:25,2093.9,2098.8,20.33,,,,,,,,
203,7/13/18 16:55,2092.9,2097.6,20.33,,,,,,,,
204,7/13/18 17:25,2091.8,2097.1,20.33,,,,,,,,
205,7/13/18 17:55,2091.8,2096.5,20.33,,,,,,,,
206,7/13/18 18:25,2089.6,2094.7,20.33,,,,,,,,
207,7/13/18 18:55,2089.6,2094.1,20.34,,,,,,,,
208,7/13/18 19:25,2088.6,2093,20.34,,,,,,,,
209,7/13/18 19:55,2087.5,2091.8,20.35,,,,,,,,
210,7/13/18 20:25,2086.4,2091.2,20.35,,,,,,,,
211,7/13/18 20:55,2085.3,2089.5,20.35,,,,,,,,
212,7/13/18 21:25,2084.2,2088.9,20.35,,,,,,,,
213,7/13/18 21:55,2083.7,2087.7,20.37,,,,,,,,
214,7/13/18 22:25,2083.2,2087.2,20.37,,,,,,,,
215,7/13/18 22:55,2082.1,2086.6,20.35,,,,,,,,
216,7/13/18 23:25,2081,2085.4,20.37,,,,,,,,
217,7/13/18 23:55,2080.5,2084.8,20.38,,,,,,,,
218,7/14/18 0:25,2080.5,2084.8,20.38,,,,,,,,
219,7/14/18 0:55,2079.9,2083.7,20.38,,,,,,,,
220,7/14/18 1:25,2078.9,2083.1,20.39,,,,,,,,
221,7/14/18 1:55,2078.3,2083.1,20.38,,,,,,,,
222,7/14/18 2:25,2078.3,2082.5,20.38,,,,,,,,
223,7/14/18 2:55,2077.8,2081.9,20.39,,,,,,,,
224,7/14/18 3:25,2077.8,2081.3,20.39,,,,,,,,
225,7/14/18 3:55,2077.8,2082.5,20.39,,,,,,,,
226,7/14/18 4:25,2078.9,2083.1,20.39,,,,,,,,
227,7/14/18 4:55,2085.3,2090.1,20.39,,,,,,,,
228,7/14/18 5:25,2091.8,2096.5,20.39,,,,,,,,
229,7/14/18 5:55,2096.1,2100.5,20.39,,,,,,,,
230,7/14/18 6:25,2101,2104.6,20.39,,,,,,,,
231,7/14/18 6:55,2102.6,2108.7,20.38,,,,,,,,
232,7/14/18 7:25,2105.3,2111,20.39,,,,,,,,
233,7/14/18 7:55,2107.4,2112.8,20.39,,,,,,,,
234,7/14/18 8:25,2108.5,2113.9,20.38,,,,,,,,
235,7/14/18 8:55,2108.5,2114.5,20.39,,,,,,,,
236,7/14/18 9:25,2108.5,2113.9,20.39,,,,,,,,
237,7/14/18 9:55,2109,2114.5,20.39,,,,,,,,
238,7/14/18 10:25,2108.5,2113.9,20.39,,,,,,,,
239,7/14/18 10:55,2108.5,2113.9,20.39,,,,,,,,
240,7/14/18 11:25,2107.4,2112.8,20.39,,,,,,,,
241,7/14/18 11:55,2106.9,2112.2,20.39,,,,,,,,
242,7/14/18 12:25,2105.3,2110.4,20.39,,,,,,,,
243,7/14/18 12:55,2103.6,2108.7,20.39,,,,,,,,
244,7/14/18 13:25,2103.1,2108.7,20.39,,,,,,,,
245,7/14/18 13:55,2102.6,2107.5,20.39,,,,,,,,
246,7/14/18 14:25,2101.5,2105.8,20.38,,,,,,,,
247,7/14/18 14:55,2100.4,2105.8,20.38,,,,,,,,
248,7/14/18 15:25,2099.9,2104.6,20.37,,,,,,,,
249,7/14/18 15:55,2098.3,2104,20.37,,,,,,,,
250,7/14/18 16:25,2097.7,2102.9,20.35,,,,,,,,
251,7/14/18 16:55,2096.6,2102.9,20.35,,,,,,,,
252,7/14/18 17:25,2097.2,2102.3,20.35,,,,,,,,
253,7/14/18 17:55,2096.6,2102.3,20.34,,,,,,,,
254,7/14/18 18:25,2097.2,2102.9,20.35,,,,,,,,
255,7/14/18 18:55,2097.2,2102.9,20.34,,,,,,,,
256,7/14/18 19:25,2097.7,2102.9,20.34,,,,,,,,
257,7/14/18 19:55,2097.2,2102.9,20.33,,,,,,,,
258,7/14/18 20:25,2097.7,2102.9,20.33,,,,,,,,
259,7/14/18 20:55,2097.2,2101.7,20.33,,,,,,,,
260,7/14/18 21:25,2097.2,2102.3,20.33,,,,,,,,
261,7/14/18 21:55,2096.6,2101.7,20.33,,,,,,,,
262,7/14/18 22:25,2096.1,2101.1,20.32,,,,,,,,
263,7/14/18 22:55,2096.1,2101.1,20.32,,,,,,,,
264,7/14/18 23:25,2096.1,2100.5,20.32,,,,,,,,
265,7/14/18 23:55,2095.6,2100.5,20.32,,,,,,,,
266,7/15/18 0:25,2095,2100.5,20.32,,,,,,,,
267,7/15/18 0:55,2095,2100.5,20.32,,,,,,,,
268,7/15/18 1:25,2096.1,2100,20.32,,,,,,,,
269,7/15/18 1:55,2095.6,2100.5,20.32,,,,,,,,
270,7/15/18 2:25,2095,2100.5,20.32,,,,,,,,
271,7/15/18 2:55,2095.6,2100.5,20.32,,,,,,,,
272,7/15/18 3:25,2095,2100.5,20.32,,,,,,,,
273,7/15/18 3:55,2095.6,2100.5,20.32,,,,,,,,
274,7/15/18 4:25,2095.6,2100.5,20.32,,,,,,,,
275,7/15/18 4:55,2095,2100.5,20.32,,,,,,,,
276,7/15/18 5:25,2095.6,2101.7,20.32,,,,,,,,
277,7/15/18 5:55,2102,2108.1,20.32,,,,,,,,
278,7/15/18 6:25,2110.1,2115.7,20.32,,,,,,,,
279,7/15/18 6:55,2118.8,2124.4,20.32,,,,,,,,
280,7/15/18 7:25,2132.3,2138.4,20.32,,,,,,,,
281,7/15/18 7:55,2145.2,2151.8,20.31,,,,,,,,
282,7/15/18 8:25,2157.7,2166.4,20.31,,,,,,,,
283,7/15/18 8:55,2172.3,2180.4,20.32,,,,,,,,
284,7/15/18 9:25,2202.7,2210.8,20.32,,,,,,,,
285,7/15/18 9:55,2248.9,2259.4,20.32,,,,,,,,
286,7/15/18 10:25,2258.1,2270,20.32,,,,,,,,
287,7/15/18 10:55,2257.6,2268.2,20.32,,,,,,,,
288,7/15/18 11:25,2255.4,2266.5,20.32,,,,,,,,
289,7/15/18 11:55,2254.3,2265.9,20.33,,,,,,,,
290,7/15/18 12:25,2254.3,2265.3,20.32,,,,,,,,
291,7/15/18 12:55,2253.8,2264.7,20.33,,,,,,,,
292,7/15/18 13:25,2252.1,2264.1,20.33,,,,,,,,
293,7/15/18 13:55,2251,2262.4,20.33,,,,,,,,
294,7/15/18 14:25,2248.9,2260,20.33,,,,,,,,
295,7/15/18 14:55,2246.7,2256.5,20.32,,,,,,,,
296,7/15/18 15:25,2242.9,2253.6,20.32,,,,,,,,
297,7/15/18 15:55,2240.7,2251.2,20.32,,,,,,,,
298,7/15/18 16:25,2238.5,2249.5,20.32,,,,,,,,
299,7/15/18 16:55,2237.4,2247.7,20.32,,,,,,,,
300,7/15/18 17:25,2235.8,2246,20.32,,,,,,,,
301,7/15/18 17:55,2234.7,2244.8,20.32,,,,,,,,
302,7/15/18 18:25,2233.6,2243,20.32,,,,,,,,
303,7/15/18 18:55,2232.5,2242.4,20.32,,,,,,,,
304,7/15/18 19:25,2231.4,2241.3,20.32,,,,,,,,
305,7/15/18 19:55,2230.4,2240.1,20.32,,,,,,,,
306,7/15/18 20:25,2229.3,2238.9,20.32,,,,,,,,
307,7/15/18 20:55,2229.3,2238.3,20.32,,,,,,,,
308,7/15/18 21:25,2228.7,2237.8,20.32,,,,,,,,
309,7/15/18 21:55,2227.1,2237.8,20.32,,,,,,,,
310,7/15/18 22:25,2227.1,2236.6,20.32,,,,,,,,
311,7/15/18 22:55,2227.1,2236.6,20.33,,,,,,,,
312,7/15/18 23:25,2227.1,2236.6,20.32,,,,,,,,
313,7/15/18 23:55,2226,2236,20.32,,,,,,,,
314,7/16/18 0:25,2226,2235.4,20.32,,,,,,,,
315,7/16/18 0:55,2224.9,2234.8,20.33,,,,,,,,
316,7/16/18 1:25,2224.9,2234.2,20.32,,,,,,,,
317,7/16/18 1:55,2224.9,2233.7,20.33,,,,,,,,
318,7/16/18 2:25,2224.9,2233.7,20.33,,,,,,,,
319,7/16/18 2:55,2223.8,2233.7,20.33,,,,,,,,
320,7/16/18 3:25,2223.8,2233.1,20.33,,,,,,,,
321,7/16/18 3:55,2223.8,2233.1,20.33,,,,,,,,
322,7/16/18 4:25,2223.8,2232.5,20.33,,,,,,,,
323,7/16/18 4:55,2222.7,2232.5,20.34,,,,,,,,
324,7/16/18 5:25,2223.8,2232.5,20.34,,,,,,,,
325,7/16/18 5:55,2222.7,2232.5,20.34,,,,,,,,
326,7/16/18 6:25,2224.4,2233.7,20.34,,,,,,,,
327,7/16/18 6:55,2238,2248.9,20.33,,,,,,,,
328,7/16/18 7:25,2250.5,2260.6,20.34,,,,,,,,
329,7/16/18 7:55,2265.7,2277.6,20.34,,,,,,,,
330,7/16/18 8:25,2289.7,2302.9,20.34,,,,,,,,
331,7/16/18 8:55,2323.6,2338.1,20.35,,,,,,,,
332,7/16/18 9:25,2351,2366.4,20.35,,,,,,,,
333,7/16/18 9:55,2371.8,2387,20.37,,,,,,,,
334,7/16/18 10:25,2392.1,2408.2,20.37,,,,,,,,
335,7/16/18 10:55,2393.2,2409.4,20.37,,,,,,,,
336,7/16/18 11:25,2394.9,2411.2,20.37,,,,,,,,
337,7/16/18 11:55,2391,2406.4,20.38,,,,,,,,
338,7/16/18 12:25,2385,2400.6,20.38,,,,,,,,
339,7/16/18 12:55,2378.4,2394.1,20.38,,,,,,,,
340,7/16/18 13:11,,,,,Logged,,,,,,
341,7/16/18 13:11,,,,,,Logged,Logged,,,,
342,7/16/18 13:25,2356.5,2370.5,20.88,,,,,Logged,,,
343,7/16/18 13:55,2314.9,2327,20.57,,,,,,,,
344,7/16/18 14:25,2292.5,2305.2,20.48,,,,,,,,
345,7/16/18 14:55,2287.6,2300.5,20.44,,,,,,,,
346,7/16/18 15:25,2287.6,2299.9,20.42,,,,,,,,
347,7/16/18 15:55,2285.4,2297.6,20.4,,,,,,,,
348,7/16/18 16:25,2283.7,2295.2,20.4,,,,,,,,
349,7/16/18 16:55,2281,2293.5,20.4,,,,,,,,
350,7/16/18 17:25,2279.9,2292.3,20.39,,,,,,,,
351,7/16/18 17:55,2278.8,2290.5,20.39,,,,,,,,
352,7/16/18 18:25,2277.2,2289.9,20.39,,,,,,,,
353,7/16/18 18:55,2277.2,2288.8,20.4,,,,,,,,
354,7/16/18 19:25,2276.6,2288.8,20.4,,,,,,,,
355,7/16/18 19:55,2275.6,2288.2,20.4,,,,,,,,
356,7/16/18 20:25,2276.1,2288.2,20.4,,,,,,,,
357,7/16/18 20:55,2275.6,2288.2,20.41,,,,,,,,
358,7/16/18 21:25,2278.8,2289.9,20.42,,,,,,,,
359,7/16/18 21:55,2282.1,2294.1,20.44,,,,,,,,
360,7/16/18 22:25,2285.4,2298.2,20.45,,,,,,,,
361,7/16/18 22:55,2289.7,2302.3,20.46,,,,,,,,
362,7/16/18 23:25,2295.2,2307,20.47,,,,,,,,
363,7/16/18 23:55,2299,2311.1,20.47,,,,,,,,
364,7/17/18 0:25,2300.7,2314.6,20.48,,,,,,,,
365,7/17/18 0:55,2303.4,2317,20.49,,,,,,,,
366,7/17/18 1:25,2307.2,2319.9,20.5,,,,,,,,
367,7/17/18 1:55,2308.9,2321.7,20.5,,,,,,,,
368,7/17/18 2:25,2309.9,2323.4,20.52,,,,,,,,
369,7/17/18 2:55,2311.6,2325.2,20.52,,,,,,,,
370,7/17/18 3:25,2311.6,2325.2,20.53,,,,,,,,
371,7/17/18 3:55,2312.7,2325.8,20.54,,,,,,,,
372,7/17/18 4:25,2313.8,2327,20.54,,,,,,,,
373,7/17/18 4:55,2312.7,2327,20.55,,,,,,,,
374,7/17/18 5:25,2314.3,2326.4,20.56,,,,,,,,
375,7/17/18 5:55,2314.3,2327,20.56,,,,,,,,
376,7/17/18 6:25,2314.3,2328.1,20.57,,,,,,,,
377,7/17/18 6:55,2314.9,2328.1,20.57,,,,,,,,
378,7/17/18 7:25,2315.4,2328.1,20.57,,,,,,,,
379,7/17/18 7:55,2318.7,2331.7,20.56,,,,,,,,
380,7/17/18 8:25,2350.4,2364.6,20.57,,,,,,,,
381,7/17/18 8:55,2416.9,2434.2,20.61,,,,,,,,
382,7/17/18 9:25,2446.6,2464.3,20.62,,,,,,,,
383,7/17/18 9:55,2473.1,2492.1,20.63,,,,,,,,
384,7/17/18 10:25,2487.5,2506.9,20.64,,,,,,,,
385,7/17/18 10:55,2486.9,2506.3,20.64,,,,,,,,
386,7/17/18 11:25,2484.2,2503.9,20.66,,,,,,,,
387,7/17/18 11:55,2484.7,2503.9,20.67,,,,,,,,
388,7/17/18 12:25,2486.4,2505.7,20.69,,,,,,,,
389,7/17/18 12:55,2488.1,2507.5,20.7,,,,,,,,
390,7/17/18 13:25,2490.3,2509.2,20.7,,,,,,,,
391,7/17/18 13:55,2489.2,2508.6,20.71,,,,,,,,
392,7/17/18 14:25,2489.2,2509.2,20.72,,,,,,,,
393,7/17/18 14:55,2489.2,2508.6,20.72,,,,,,,,
394,7/17/18 15:25,2488.1,2507.5,20.74,,,,,,,,
395,7/17/18 15:55,2488.1,2507.5,20.74,,,,,,,,
396,7/17/18 16:25,2486.9,2506.9,20.74,,,,,,,,
