Plot Title: LSLE,,,,,,,,,,,,
#,"Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 20370964_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370964)","High Range, μS/cm (LGR S/N: 20370964_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370964)","Temp, °C (LGR S/N: 20370964_duplicate_duplicate_duplicate_duplicate, SEN S/N: 20370964)",Coupler Detached (LGR S/N: 20370964),Coupler Attached (LGR S/N: 20370964),Stopped (LGR S/N: 20370964),End Of File (LGR S/N: 20370964),Coupler Detached (LGR S/N: 20370964),Coupler Attached (LGR S/N: 20370964),Stopped (LGR S/N: 20370964),End Of File (LGR S/N: 20370964)
1,7/9/18 12:25,0,0,22.29,,,,,,,,
2,7/9/18 12:25,,,,Logged,,,,,,,
3,7/9/18 12:55,2151.2,2159.4,20.39,,,,,,,,
4,7/9/18 13:25,2112.3,2118,20.28,,,,,,,,
5,7/9/18 13:55,2103.1,2108.1,20.24,,,,,,,,
6,7/9/18 14:25,2097.7,2102.3,20.22,,,,,,,,
7,7/9/18 14:55,2092.9,2097.6,20.2,,,,,,,,
8,7/9/18 15:25,2089.1,2094.7,20.18,,,,,,,,
9,7/9/18 15:55,2086.4,2090.7,20.16,,,,,,,,
10,7/9/18 16:25,2084.2,2088.9,20.16,,,,,,,,
11,7/9/18 16:55,2082.1,2086.6,20.13,,,,,,,,
12,7/9/18 17:25,2080.5,2084.8,20.13,,,,,,,,
13,7/9/18 17:55,2078.9,2083.1,20.12,,,,,,,,
14,7/9/18 18:25,2078.3,2081.9,20.12,,,,,,,,
15,7/9/18 18:55,2076.2,2079.6,20.1,,,,,,,,
16,7/9/18 19:25,2074.6,2078.4,20.09,,,,,,,,
17,7/9/18 19:55,2073.5,2076.7,20.08,,,,,,,,
18,7/9/18 20:25,2072.4,2075.5,20.06,,,,,,,,
19,7/9/18 20:55,2070.8,2073.8,20.05,,,,,,,,
20,7/9/18 21:25,2069.2,2073.2,20.05,,,,,,,,
21,7/9/18 21:55,2069.2,2072,20.04,,,,,,,,
22,7/9/18 22:25,2067.6,2070.9,20.04,,,,,,,,
23,7/9/18 22:55,2067,2070.3,20.03,,,,,,,,
24,7/9/18 23:25,2065.9,2069.1,20.02,,,,,,,,
25,7/9/18 23:55,2064.9,2069.1,20.01,,,,,,,,
26,7/10/18 0:25,2064.9,2068,20.02,,,,,,,,
27,7/10/18 0:55,2064.9,2067.4,20.01,,,,,,,,
28,7/10/18 1:25,2064.3,2067.4,20,,,,,,,,
29,7/10/18 1:55,2064.9,2068,19.98,,,,,,,,
30,7/10/18 2:25,2065.9,2069.1,19.98,,,,,,,,
31,7/10/18 2:55,2065.9,2069.7,19.98,,,,,,,,
32,7/10/18 3:25,2067.6,2070.3,19.97,,,,,,,,
33,7/10/18 3:55,2066.5,2069.7,19.97,,,,,,,,
34,7/10/18 4:25,2066.5,2069.1,19.96,,,,,,,,
35,7/10/18 4:55,2064.3,2068,19.96,,,,,,,,
36,7/10/18 5:25,2064.3,2066.8,19.97,,,,,,,,
37,7/10/18 5:55,2062.7,2066.2,19.95,,,,,,,,
38,7/10/18 6:25,2062.2,2065.1,19.95,,,,,,,,
39,7/10/18 6:55,2060.6,2063.9,19.94,,,,,,,,
40,7/10/18 7:25,2060.6,2063.3,19.94,,,,,,,,
41,7/10/18 7:55,2060,2063.3,19.94,,,,,,,,
42,7/10/18 8:25,2059,2061.6,19.94,,,,,,,,
43,7/10/18 8:55,2057.9,2061,19.93,,,,,,,,
44,7/10/18 9:25,2057.9,2061,19.94,,,,,,,,
45,7/10/18 9:55,2057.9,2059.8,19.93,,,,,,,,
46,7/10/18 10:25,2057.3,2059.3,19.91,,,,,,,,
47,7/10/18 10:55,2056.3,2058.7,19.91,,,,,,,,
48,7/10/18 11:25,2055.2,2057.5,19.91,,,,,,,,
49,7/10/18 11:55,2054.1,2056.4,19.91,,,,,,,,
50,7/10/18 12:25,2053,2055.2,19.9,,,,,,,,
51,7/10/18 12:55,2050.9,2053.5,19.9,,,,,,,,
52,7/10/18 13:25,2050.9,2052.3,19.89,,,,,,,,
53,7/10/18 13:55,2049.8,2052.3,19.89,,,,,,,,
54,7/10/18 14:25,2048.7,2051.7,19.89,,,,,,,,
55,7/10/18 14:55,2048.7,2050.6,19.88,,,,,,,,
56,7/10/18 15:25,2047.7,2050,19.87,,,,,,,,
57,7/10/18 15:55,2047.1,2049.4,19.87,,,,,,,,
58,7/10/18 16:25,2046.6,2048.8,19.87,,,,,,,,
59,7/10/18 16:55,2047.1,2049.4,19.86,,,,,,,,
60,7/10/18 17:25,2047.7,2049.4,19.85,,,,,,,,
61,7/10/18 17:55,2048.2,2050,19.86,,,,,,,,
62,7/10/18 18:25,2048.2,2050.6,19.85,,,,,,,,
63,7/10/18 18:55,2048.7,2050.6,19.85,,,,,,,,
64,7/10/18 19:25,2049.3,2051.1,19.85,,,,,,,,
65,7/10/18 19:55,2049.3,2052.3,19.85,,,,,,,,
66,7/10/18 20:25,2048.7,2052.3,19.85,,,,,,,,
67,7/10/18 20:55,2049.8,2052.3,19.83,,,,,,,,
68,7/10/18 21:25,2049.8,2052.3,19.83,,,,,,,,
69,7/10/18 21:55,2050.4,2052.3,19.83,,,,,,,,
70,7/10/18 22:25,2049.8,2052.3,19.83,,,,,,,,
71,7/10/18 22:55,2049.8,2051.7,19.83,,,,,,,,
72,7/10/18 23:25,2049.8,2051.7,19.83,,,,,,,,
73,7/10/18 23:55,2049.3,2051.7,19.83,,,,,,,,
74,7/11/18 0:25,2049.3,2051.7,19.83,,,,,,,,
75,7/11/18 0:55,2048.7,2051.7,19.83,,,,,,,,
76,7/11/18 1:25,2050.4,2051.7,19.83,,,,,,,,
77,7/11/18 1:55,2050.4,2052.9,19.83,,,,,,,,
78,7/11/18 2:25,2050.4,2053.5,19.85,,,,,,,,
79,7/11/18 2:55,2051.4,2054,19.85,,,,,,,,
80,7/11/18 3:25,2054.1,2056.9,19.85,,,,,,,,
81,7/11/18 3:55,2057.3,2059.8,19.85,,,,,,,,
82,7/11/18 4:25,2060,2062.8,19.86,,,,,,,,
