,Date,Home_Salinity,n,meanLowCon,meanHighCon,meanTemp,LowCon_ppt,HighCon_ppt,
1,10/1/2018,High,48,3414.5375,3610.354167,19.37291667,1.877995625,1.985694792,1.931845208
2,10/1/2018,Low,48,4187.714583,4371.358333,20.015,2.303243021,2.404247083,2.353745052
3,10/1/2018,Mid,48,33660.5,55183.6,20.28729167,18.513275,30.35098,24.4321275
4,10/10/2018,High,48,3424.8625,3619.408333,19.45645833,1.883674375,1.990674583,1.937174479
5,10/10/2018,Low,48,13873.82708,40513.02917,21.01354167,7.630604896,22.28216604,14.95638547
6,10/10/2018,Mid,48,33660.5,55183.6,20.95354167,18.513275,30.35098,24.4321275
7,10/11/2018,High,48,3441.8,3636.3125,19.548125,1.89299,1.999971875,1.946480938
8,10/11/2018,Low,48,33644.7,50954.54375,21.24854167,18.504585,28.02499906,23.26479203
9,10/11/2018,Mid,48,33660.5,55183.6,21.1425,18.513275,30.35098,24.4321275
10,10/12/2018,High,48,3457.539583,3652.327083,19.644375,1.901646771,2.008779896,1.955213333
11,10/12/2018,Low,48,33451.86458,31794.25833,21.38625,18.39852552,17.48684208,17.9426838
12,10/12/2018,Mid,48,33660.5,55183.6,21.27854167,18.513275,30.35098,24.4321275
13,10/13/2018,High,48,3450.654167,3645.416667,19.64979167,1.897859792,2.004979167,1.951419479
14,10/13/2018,Low,48,30992.22917,26643.46458,20.864375,17.04572604,14.65390552,15.84981578
15,10/13/2018,Mid,48,33660.5,55183.6,20.79375,18.513275,30.35098,24.4321275
16,10/14/2018,High,48,3336.63125,3529.629167,19.21354167,1.835147188,1.941296042,1.888221615
17,10/14/2018,Low,48,27039.24167,24361.16458,19.896875,14.87158292,13.39864052,14.13511172
18,10/14/2018,Mid,48,33660.5,55183.6,20.07375,18.513275,30.35098,24.4321275
19,10/15/2018,High,48,3165.38125,3353.495833,18.74083333,1.740959688,1.844422708,1.792691198
20,10/15/2018,Low,48,24769.22708,23024.68125,19.37375,13.6230749,12.66357469,13.14332479
