date,time,CO2_flux,Collar,CH4_flux,T5,SM5
2019-06-07,09:47:11,15.382,116,-5.06336,22.6,0.236
2019-06-07,09:48:46,5.46967,116,-1.57608,22.4,0.235
2019-06-07,09:57:01,10.9289,115,-1.29735,22.6,0.252
2019-06-07,09:58:36,6.27762,115,-0.965494,21.9,0.256
2019-06-07,10:01:08,9.83584,114,-0.948348,21.9,0
2019-06-07,10:02:43,4.66026,114,-0.724891,21.9,0.253
2019-06-07,10:07:16,7.01778,113,-0.456282,21.7,0.387
2019-06-07,10:14:01,13.5319,111,-2.86584,21.9,0
2019-06-07,10:15:36,10.5949,111,-9.0277,22.1,0.204
2019-06-07,10:19:09,24.7876,110,-1.90073,22.1,0
2019-06-07,10:20:44,10.2182,110,-1.58274,21.9,0.277
2019-06-07,10:23:47,22.1851,112,-4.69982,21.9,0
2019-06-07,10:25:23,9.38778,112,-2.65952,21.9,0.235
2019-06-07,10:28:47,24.9844,109,-4.78684,21.9,0.282
2019-06-07,10:30:23,12.2708,109,-11.0635,21.9,0.284
2019-06-07,10:34:11,10.9739,6,-1.53335,21.9,0
2019-06-07,10:35:46,7.75465,6,-0.401652,22.1,0.155
2019-06-07,10:38:58,15.8261,93,-3.50839,22.1,0.192
2019-06-07,10:40:33,6.95991,93,0.440891,22.1,0.19
2019-06-07,10:43:13,33.0096,5,-3.98386,22.1,0
2019-06-07,10:44:49,11.6531,5,-0.91135,22.1,0.308
2019-06-07,10:47:42,10.5217,36,-0.417992,22.1,0.31
2019-06-07,10:51:47,8.78137,76,-0.830713,21.9,0.319
2019-06-07,10:53:22,6.39382,76,0.261275,22.1,0.317
2019-06-07,10:56:36,22.8561,16,58.9204,22.4,0.433
2019-06-07,10:58:11,12.7656,16,43.2956,22.1,0.431
2019-06-07,11:01:15,4.6806,74,0.134754,21.9,0
2019-06-07,11:02:50,5.52687,74,0.681047,21.9,0.331
2019-06-07,11:10:22,7.47115,94,-0.507811,21.7,0.361
2019-06-07,11:11:58,6.42102,94,-3.16199,21.5,0.361
2019-06-07,11:14:49,6.59119,14,-0.0884518,21.7,0.237
2019-06-07,11:20:16,6.43703,14,-0.6206,21.5,0.24
2019-06-07,11:23:00,12.4468,35,32.7754,21.5,0
2019-06-07,11:24:35,8.0075,35,22.4236,21.1,0.487
2019-06-07,11:27:56,12.0899,13,1.69164,21.3,0
2019-06-07,11:29:31,4.81682,13,2.18362,21.3,0.457
2019-06-07,11:32:43,10.8701,7,1.04535,21.3,0.482
2019-06-07,11:34:19,8.48707,7,0.428297,21.3,0.485
2019-06-07,11:37:16,15.6674,73,0.198991,21.3,0
2019-06-07,11:38:51,17.6275,73,-0.377417,21.5,0.364
2019-06-07,11:41:57,9.36309,15,-0.385038,21.5,0.351
2019-06-07,11:43:32,4.41553,15,0.522608,21.7,0.352
2019-06-07,11:46:18,16.2331,96,2.15178,21.9,0
2019-06-07,11:47:53,8.78917,96,2.31846,21.9,0.301
2019-06-07,11:50:30,10.1353,34,-8.44093,21.9,0.396
2019-06-07,11:52:05,4.16922,34,-0.277003,21.9,0.398
2019-06-07,11:55:04,15.1801,75,0.789448,22.1,0.388
2019-06-07,11:56:40,9.406,75,1.16216,22.1,0.388
2019-06-07,11:59:59,39.7787,8,-3.70096,22.4,0.219
2019-06-07,12:01:34,12.9126,8,-0.848146,22.4,0.219
