Timestamp,Collar,Salinity_Transect,Elevation_Transect,Treatment,Home_Salinity,Home_Elevation,Local_Salinity,Local_Elevation,Origin_Plot,Destination_Plot,meanFlux,sdFlux,meanSM,meanT5,meanT20
2018-07-20T19:32:46Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,11.185,0.572756493,0.27355692,22.18142187,20.1
2018-08-09T19:12:06Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,12.09,2.418305192,-0.553,24.70548742,22.6
2018-08-24T19:44:20Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,12.87,1.442497834,0.203342634,21.18031422,20.4
2018-09-10T19:47:47Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,11.87,3.422396821,0.197470982,20.62200142,19.8
2018-10-12T14:07:53Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,10,3.252691193,1.689514509,17.98690077,21.1
2018-11-02T15:58:11Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,7.255,0.601040764,1.694071429,17.55956737,15.9
2018-11-21T16:54:30Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,2.105,0.007071068,-0.067686384,9.61732498,11.5
2019-01-01T20:45:48Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,3.975,0.657609307,0.377722039,10.8,10.2
2019-03-16T18:30:08Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,2.365,1.053589104,0.356399554,12.06946216,9.5
2019-05-16T14:30:40Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,8.685,2.524371209,0.41061102,13.10806867,12.9
2019-06-07T15:08:49Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,7.14,0.749533188,0.404486431,19.97743298,17.8
2019-08-09T17:46:51Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,13,1.81019336,0.176058036,23.22372027,NA
2019-08-22T14:45:09Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,9.4,1.301076477,-0.256095982,23.07896875,NA
2019-09-20T19:33:30Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,7.315,3.358757211,-0.280277549,19.70189967,18.5
2019-10-23T19:02:26Z,5,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,7.095,0.728319985,-0.22798273,19.47949383,16.1
2018-05-02T17:52:14Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,5.325,2.920351006,0.224142857,20.33104383,12.7
2018-05-15T14:20:19Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,9.875,2.001112191,0.140270089,17.97547423,15.7
2018-06-08T15:50:06Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,6.26,0.890954544,0.378899554,17.95292411,18.4
2018-07-16T15:42:04Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,7.41,2.078893937,0.034928571,24.03471175,20.4
2018-07-20T19:39:33Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,9.955,4.928534265,0.287485491,21.37483056,20.3
2018-08-09T19:05:04Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,8.8,1.145512986,-0.553,24.30290749,21.8
2018-08-24T19:37:18Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,8.315,1.704127343,0.363,21.81742999,21
2018-09-10T19:54:37Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,12.6,4.044650788,0.26852567,20.92452516,20.2
2018-10-12T14:03:49Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,8.365,0.770746391,1.687518681,19.47459251,21.1
2018-11-02T15:50:43Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,7.37,1.58391919,1.692342634,19.08686475,19.1
2018-11-21T16:47:22Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,2.685,0.190918831,-0.109100446,11.48859568,11.8
2019-01-01T20:42:22Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,5.13,0.777817459,0.292828125,11.4,10.8
2019-03-16T18:37:16Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,2.02,0.212132034,0.217196546,12.98962007,10
2019-05-16T14:23:47Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,7.57,0.565685425,0.315399554,13.51900264,13.1
2019-06-07T14:59:04Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,5.855,0.176776695,0.117486431,19.80418051,17.3
2019-08-09T17:40:02Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,13.395,3.528462838,0.417529018,23.59719602,NA
2019-08-22T14:37:15Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,12.92,2.319310242,-0.28873273,24.15602344,NA
2019-09-20T19:37:24Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,2.85,0.084852814,-0.270416118,20.66653331,19.7
2019-10-23T18:52:38Z,6,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,7.995,0.813172798,-0.235855263,19.63818586,17.1
2018-05-02T17:00:54Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,3.01,0.664680374,0.398271205,15.65029576,12
2018-05-15T15:09:10Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,4.915,1.29400541,0.4855,17.45554564,15.3
2018-06-08T16:16:48Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,6.455,2.085965005,0.375842634,18.12979129,16.9
2018-06-21T15:37:39Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,7.755,1.42128463,0.497828125,21.50924797,19.6
2018-07-16T16:18:11Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,8.22,1.258650071,0.420285714,22.54322829,20.3
2018-07-20T18:58:50Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,7.85,0.791959595,0.29505692,22.11481899,20.2
2018-08-09T19:43:49Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,6.81,1.046518036,-0.553,24.39016011,22.3
2018-08-24T20:15:32Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,6.135,1.788980156,0.472857143,21.16021631,20.7
2018-09-10T18:45:42Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,5.655,1.011162697,0.444642857,20.03341477,20.1
2018-10-09T15:26:35Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,3.91,0.311126984,1.69563199,21.75602632,20.8
2018-10-12T14:36:54Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,3.375,0.572756493,1.66544308,18.74378592,20.7
2018-11-02T16:30:51Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,3.175,0.799030663,1.693485491,17.0715138,15.8
2019-01-01T21:21:34Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,1.01,0,0.45353824,10.3,9.5
2019-03-16T17:59:39Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,1.98,0.777817459,0.433203536,10.16576316,8.6
2019-05-16T15:01:05Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,4.44,1.173797257,0.382899554,13.51788971,13.2
2019-06-07T15:53:01Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,7.035,1.6475588,0.458342634,19.39524452,17.5
2019-08-09T18:17:33Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,5.295,0.572756493,1.697703536,22.73853454,NA
2019-08-22T15:24:32Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,8.35,2.969848481,0.094921875,23.45953998,NA
2019-09-20T18:57:31Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,1.07,0.084852814,-0.256976974,18.99619449,19
2019-10-23T19:38:11Z,7,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,1.77,0.042426407,-0.232597039,17.09572697,16.3
2018-05-02T17:16:14Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,6.315,0.148492424,0.276699777,14.15660917,12.1
2018-05-15T15:31:17Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,9.96,1.555634919,0.319874178,17.8081361,15.7
2018-06-08T16:39:55Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,10.48,1.499066376,0.384685268,18.50679099,17
2018-06-21T16:06:57Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,17.825,8.124656916,0.224414063,22.01379058,19.7
2018-07-16T16:42:03Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,17.255,8.492352442,0.075857143,23.78787338,21
2018-07-20T18:36:42Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,15.6600005,6.052834754,0.285414063,22.32238738,20.8
2018-08-09T20:10:58Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,15.5450005,7.516545791,-0.553,25.18149432,22.3
2018-08-24T20:36:42Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,9.04,2.305168107,0.374470982,22.48920282,21.2
2018-09-10T19:07:05Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,11.28,4.511341264,0.399470982,29.87261688,21
2018-10-12T14:59:30Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,5.125,0.940452019,1.689142857,17.84991295,20.5
2018-11-02T16:55:23Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,5.85,1.48492424,1.694,17.51483624,16.4
2019-01-01T21:42:10Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,3.35,1.074802307,0.420414063,10.7,9.9
2019-03-16T17:39:05Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,1.415,0.657609307,0.390714286,10.18497991,8.6
2019-05-16T15:20:47Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,11.635,6.30032142,0.244357143,13.97245404,13.4
2019-06-07T16:22:16Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,10.19,2.107178208,0.021657366,19.93317137,17.8
2019-08-09T18:33:54Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,19.0950005,0.219202395,1.697142857,24.20325568,NA
2019-08-22T15:48:44Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,20.6949995,1.393001066,1.913485491,23.82910511,NA
2019-09-20T18:25:48Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,5.685,0.38890873,-0.272603795,19.88678784,19.5
2019-10-23T20:06:23Z,8,Y,N,Trenched,High,Low,Mid,Low,HSLE,MSLE,4.25,0.339411255,-0.23273273,17.41515954,16.4
2018-05-02T15:14:10Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,1.64,0.113137085,0.301486431,15.07728372,12.3
2018-05-15T18:31:39Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,3.675,0.120208153,0.31788199,19.53168092,16.1
2018-06-08T18:24:49Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,4.1,1.202081528,0.40094308,18.69975649,16.8
2018-06-21T18:59:37Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,5.66,1.923330445,0.440342634,21.49642147,20
2018-07-12T15:33:31Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,5.085,0.997020561,0.177408717,21.68060896,20.2
2018-07-20T15:52:34Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,5.655,1.562705986,0.373784316,20.95825115,20
2018-08-09T15:19:51Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,5.98,1.852619767,-0.553,23.65063312,22.2
2018-08-24T22:03:26Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,4.8,1.258650071,0.390970982,21.21859791,20.6
2018-09-10T15:54:15Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,3.63,0.749533188,0.40109933,19.39336587,19.8
2018-10-12T16:08:48Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,3.69,0.268700577,1.68955692,18.61892218,20.3
2018-11-02T18:46:22Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,3.03,0.579827561,1.694,17.0093543,15.2
2019-01-01T23:05:12Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,2.375,1.675843071,0.40415625,9.6,9.1
2019-03-16T16:00:08Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,1.17,0.438406204,0.435334821,9.265459619,8.5
2019-05-16T16:42:42Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,3.28,0.650538239,0.422256696,14.22052932,13
2019-06-07T19:31:21Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,7.485,4.249711755,0.4545,19.53611404,17.7
2019-08-09T19:22:05Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,10.105,3.726452737,0.42003683,23.90403115,NA
2019-08-22T19:14:48Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,9.94,3.634528855,-0.318716518,25.38005499,NA
2019-10-23T16:17:40Z,9,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,4.245,0.714177849,-0.177171875,15.67227632,15.6
2018-05-02T15:32:57Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,3.145,0.374766594,0.386813616,17.05505073,11.9
2018-05-15T19:20:03Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,4.91,0.282842712,0.421401316,20.88933799,14.8
2018-06-08T18:59:18Z,10,Y,N,Trenched,High,Low,Low,Low,HSLE,LSLE,4.335,0.643467171,0.487157366,18.91220576,16.7
